school number,District,campus,district2,latitude,longitude,address,grade_span,school_type,feeder
'057905090,'057905,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,DALLAS ISD,32.780239,-96.806076,"701 Elm St, Dallas, TX 75202",'09 - 12,S,#N/A
'057905025,'057905,SKYLINE H S,DALLAS ISD,32.78051,-96.690453,"7777 Forney Rd, Dallas, TX 75227",'09 - 12,S,#N/A
'057905260,'057905,LORENZO DE ZAVALA EL,DALLAS ISD,32.7810173,-96.8389969,"3214 N Winnetka Ave, Dallas, TX 75212",'PK - 05,E,L G PINKSTON HIGH SCHOOL
'057905012,'057905,L G PINKSTON H S,DALLAS ISD,32.7811279,-96.858551,"2200 Dennison St, Dallas, TX 75212",'09 - 12,S,#N/A
'057905103,'057905,GABE P ALLEN CHARTER SCHOOL,DALLAS ISD,32.7815132,-96.9075623,"5220 Nomas St, Dallas, TX 75212",'PK - 05,E,L G PINKSTON HIGH SCHOOL
'057905140,'057905,AMELIA EARHART LEARNING CENTER,DALLAS ISD,32.7850456,-96.8753815,"3531 N Westmoreland Rd, Dallas, TX 75212",'PK - 05,E,#N/A
'057905232,'057905,EDNA ROWE EL,DALLAS ISD,32.7854195,-96.7067337,"4918 Hovenkamp Dr, Dallas, TX 75227",'PK - 05,E,SKYLINE HIGH SCHOOL
'057905124,'057905,GEORGE W CARVER CREATIVE ARTS LEARNING CENTER,DALLAS ISD,32.7867584,-96.8654099,"3719 Greenleaf St, Dallas, TX 75212",'PK - 05,E,L G PINKSTON HIGH SCHOOL
'057905071,'057905,DALLAS ENVIRONMENTAL SCIENCE ACADEMY,DALLAS ISD,32.7874343,-96.8641893,"3635 Greenleaf St, Dallas, TX 75212",'06 - 08,M,Magnet
'057905265,'057905,ELADIO R MARTINEZ LEARNING CENTER,DALLAS ISD,32.7878078,-96.89434,"4500 Bernal Dr, Dallas, TX 75212",'PK - 05,E,L G PINKSTON HIGH SCHOOL
'057905122,'057905,C F CARR EL,DALLAS ISD,32.787872,-96.852737,"1952 Bayside St, Dallas, TX 75212",'EE - 05,E,L G PINKSTON HIGH SCHOOL
'057905034,'057905,BOOKER T WASHINGTON SPVA MAGNET,DALLAS ISD,32.7916603,-96.7970047,"2501 Flora St, Dallas, TX 75201",'09 - 12,S,#N/A
'057905131,'057905,IGNACIO ZARAGOZA EL,DALLAS ISD,32.795155,-96.770851,"4550 Worth St, Dallas, TX 75246",'EE - 05,E,NORTH DALLAS HIGH SCHOOL
'057905188,'057905,MOUNT AUBURN EL,DALLAS ISD,32.7958298,-96.7440262,"6012 E Grand Ave, Dallas, TX 75223",'PK - 03,E,WOODROW WILSON HIGH SCHOOL
'057905108,'057905,BAYLES EL,DALLAS ISD,32.8008385,-96.7068863,"2444 Telegraph Ave, Dallas, TX 75228",'PK - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905196,'057905,J W RAY LEARNING CENTER,DALLAS ISD,32.8015213,-96.7893066,"2211 Caddo St, Dallas, TX 75204",'PK - 05,E,NORTH DALLAS HIGH SCHOOL
'057905217,'057905,WILLIAM B TRAVIS ACDMY/VNGRD FOR ACADEMICALLY TAG,DALLAS ISD,32.801601,-96.801582,"3001 McKinney Ave, Dallas, TX 75204",'04 - 05,E,Magnet
'057905057,'057905,WILLIAM B TRAVIS ACAD/VANGRD FOR ACADEMICALLY TAG,DALLAS ISD,32.8016014,-96.8015823,"3001 McKinney Ave, Dallas, TX 75204",'06 - 08,M,Magnet
'057905076,'057905,HAROLD WENDELL LANG SR MIDDLE,DALLAS ISD,32.801762,-96.686729,"1678 Chenault St, Dallas, TX 75228",'06 - 08,M,SKYLINE HIGH SCHOOL
'057905281,'057905,CESAR CHAVEZ LEARNING CENTER,DALLAS ISD,32.8037224,-96.7805252,"1710 N Carroll Ave, Dallas, TX 75204",'EE - 05,E,NORTH DALLAS HIGH SCHOOL
'057905022,'057905,WOODROW WILSON H S,DALLAS ISD,32.8047996,-96.7506849,"100 S Glasgow Dr, Dallas, TX 75214",'09 - 12,S,#N/A
'057905270,'057905,EDUARDO MATA EL,DALLAS ISD,32.8063431,-96.7315979,"7420 La Vista Dr, Dallas, TX 75214",'04 - 05,E,WOODROW WILSON HIGH SCHOOL
'057905202,'057905,ORAN M ROBERTS EL,DALLAS ISD,32.8063431,-96.7315979,"7420 La Vista Dr, Dallas, TX 75214",'PK - 05,E,#N/A
'057905177,'057905,WILLIAM LIPSCOMB EL,DALLAS ISD,32.807163,-96.757019,"5801 Worth St, Dallas, TX 75214",'PK - 05,E,WOODROW WILSON HIGH SCHOOL
'057905053,'057905,J L LONG MIDDLE,DALLAS ISD,32.807251,-96.7499084,"6116 Reiger Ave, Dallas, TX 75214",'06 - 08,M,WOODROW WILSON HIGH SCHOOL
'057905058,'057905,ALEX W SPENCE TALENTED/GIFTED ACADEMY,DALLAS ISD,32.807827,-96.7879944,"4001 Capitol Ave, Dallas, TX 75204",'06 - 08,M,NORTH DALLAS HIGH SCHOOL
'057905030,'057905,MAYA ANGELOU H S,DALLAS ISD,32.8079338,-96.7840729,"4528 Rusk Ave, Dallas, TX 75204",'07 - 11,S,#N/A
'057905283,'057905,ESPERANZA MEDRANO EL,DALLAS ISD,32.807976,-96.82658,"2221 Lucas Dr, Dallas, TX 75219",'EE - 05,E,NORTH DALLAS HIGH SCHOOL
'057905129,'057905,S S CONNER EL,DALLAS ISD,32.8082428,-96.6947479,"3037 Greenmeadow Dr, Dallas, TX 75228",'EE - 05,E,SKYLINE HIGH SCHOOL
'057905268,'057905,JOHN F KENNEDY LEARNING CENTER,DALLAS ISD,32.8093339,-96.7747718,"1803 Moser Ave, Dallas, TX 75206",'PK - 05,E,NORTH DALLAS HIGH SCHOOL
'057905160,'057905,SAM HOUSTON EL,DALLAS ISD,32.8101349,-96.8133469,"2827 Throckmorton St, Dallas, TX 75219",'PK - 05,E,NORTH DALLAS HIGH SCHOOL
'057905024,'057905,NORTH DALLAS H S,DALLAS ISD,32.8111305,-96.794548,"3120 N Haskell Ave, Dallas, TX 75204",'09 - 12,S,#N/A
'057905206,'057905,ALEX SANGER EL,DALLAS ISD,32.8134613,-96.709465,"8410 San Leandro Dr, Dallas, TX 75218",'PK - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905184,'057905,BEN MILAM EL,DALLAS ISD,32.8163757,-96.7901306,"4200 McKinney Ave, Dallas, TX 75205",'PK - 05,E,NORTH DALLAS HIGH SCHOOL
'057905218,'057905,GEORGE W TRUETT EL,DALLAS ISD,32.816429,-96.683495,"1811 Gross Rd, Dallas, TX 75228",'PK - 05,E,SKYLINE HIGH SCHOOL
